run_id,accuracy,best_mae,timestamp,arena_name,gladiator_name,architecture,problem_type,loss_function_name,hidden_activation_name,output_activation_name,weight_initializer_name,normalization_scheme,seed,learning_rate,epoch_count,convergence_condition,runtime_seconds,final_error
1,56.666666666666664,0.15925099198232837,2025-06-01T20:43:04.639082,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,5.044788,0.36809693471144783
2,76.66666666666667,0.2760948700861362,2025-06-01T20:43:10.227208,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,4.585074,0.2760948700861362
3,60.0,0.41319921005679394,2025-06-01T20:43:11.932655,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.919448,0.4132319380447133
4,60.0,0.4095599871011114,2025-06-01T20:43:13.378190,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.778281,0.4095820122540692
5,60.0,0.44972995500601287,2025-06-01T20:43:14.846110,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.795619,0.4497504624160265
6,99.94855213065826,131.09499733784543,2025-06-01T20:43:16.652697,Predict_Income_2_Inputs,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,599059,1e-08,100,Did Not Converge,0.894896,131.09499733784543
7,99.99999999999997,5.117423521975676e-11,2025-06-01T20:43:17.880433,Predict_Income_2_Inputs,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,None,None,Xavier (Glorot),WIP,599059,1e-08,100,Did Not Converge,0.594632,6.160310780008634e-11
8,0.35445072574230574,253908.14399064585,2025-06-01T20:43:19.496995,Predict_Income_2_Inputs,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,ReLU,None,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.876856,253908.14399064585
9,53.05410348108044,116892.863713416,2025-06-01T20:43:21.140705,Predict_Income_2_Inputs,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,Sigmoid,None,Xavier (Glorot),WIP,599059,0.001,100,Did Not Converge,0.737556,119623.46075576475
10,76.64696102051893,58936.58482210567,2025-06-01T20:43:22.806330,Predict_Income_2_Inputs,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,Tanh,None,Xavier (Glorot),WIP,599059,0.01,100,Did Not Converge,0.715749,59506.18795327439
11,85.3172241331848,3.3831587840098467,2025-06-01T20:43:25.456568,MultiModal_Temperature,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,599059,0.001,100,Did Not Converge,0.988546,3.413684425223235
12,84.087185866816,3.6285578813227612,2025-06-01T20:43:27.047771,MultiModal_Temperature,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,None,None,Xavier (Glorot),WIP,599059,9.999999999999999e-05,100,Did Not Converge,0.606987,3.6996632149575297
13,83.50670647148156,3.8311980449594736,2025-06-01T20:43:28.960941,MultiModal_Temperature,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,ReLU,None,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.836524,3.834622264185731
14,84.54008070076341,3.3026896071629173,2025-06-01T20:43:30.479808,MultiModal_Temperature,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,Sigmoid,None,Xavier (Glorot),WIP,599059,0.001,100,Did Not Converge,0.662647,3.5943670465126685
